tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-01 09:56:46	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.7	219.7		g	-10.5 	1.21e-06	1	1	2.40e-08	3.81e-08	3.69e-08	u	273	0	0	0.00	-90.00	273
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-04 17:27:42	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.7	217.0		g	-10.9 	1.19e-06	2	1	3.35e-08	4.36e-08	1.47e-08	u	273	0	0	0.00	-90.00	77
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-08 13:35:09	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	219.5		g	-11.0 	1.19e-06	3	1	2.24e-08	2.79e-08	1.56e-08	u	273	0	0	0.00	-90.00	  373.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-12 15:09:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.2	218.0		g	-11.8 	1.17e-06	4	1	4.04e-08	4.94e-08	1.81e-08	u	273	0	0	0.00	-90.00	  473.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-13 15:14:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	   40.7	180.5		g	 00.1 	8.59e-07	5	1	9.38e-09	6.92e-07	2.59e-07	u	273	0	0	0.00	-90.00	  573.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-14 13:35:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.7	216.9		g	-12.1 	1.10e-06	6	1	4.17e-08	5.57e-08	1.28e-08	u	273	0	0	0.00	-90.00	  573.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-09-26 17:56:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	221.3		g	-12.2 	1.04e-06	7	1	1.32e-08	1.55e-08	1.48e-08	u	273	0	0	0.00	-90.00	  623.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-10-06 21:06:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	221.1		g	-12.1 	9.95e-07	8	1	3.06e-08	3.60e-08	1.52e-08	u	273	0	0	0.00	-90.00	  673.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-10-24 10:50:07	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	221.5		g	-11.9 	9.76e-07	9	1	2.36e-08	2.98e-08	9.55e-09	u	273	0	0	0.00	-90.00	  698.0
This study	GB13-1a	GB13-1a:LP-DIR-T	hargrave 2016-10-28 12:29:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	221.8		g	-12.0 	9.53e-07	10	1	1.40e-08	1.08e-08	1.06e-08	u	273	0	0	0.00	-90.00	  723.0
