tab	measurements
analysts	citation	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study		    2.4	155.6	 24.6 	GB16-1a:LP-DIR-T	hargrave 2016-09-01 10:38:19	3.25e-07	4.69e-09	5.75e-09	1.17e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	273
	This study		    1.4	153.4	 24.5 	GB16-1a:LP-DIR-T	hargrave 2016-09-04 18:08:47	3.05e-07	4.12e-09	3.72e-09	5.72e-09	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	77
	This study		    3.3	160.2	 23.9 	GB16-1a:LP-DIR-T	hargrave 2016-11-16 15:55:56	2.99e-07	7.86e-09	1.43e-08	5.71e-09	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  373.0
	This study		    1.6	156.2	 22.7 	GB16-1a:LP-DIR-T	hargrave 2016-11-21 16:04:32	2.85e-07	4.15e-09	4.97e-09	4.51e-09	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  473.0
	This study		   38.5	181.7	 00.2 	GB16-1a:LP-DIR-T	hargrave 2016-12-09 22:45:50	2.11e-07	4.25e-09	1.29e-07	1.07e-07	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  573.0
	This study		    2.3	153.7	 22.2 	GB16-1a:LP-DIR-T	hargrave 2016-12-11 13:13:21	2.62e-07	5.53e-09	7.93e-09	4.22e-09	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  573.0
	This study		    2.4	154.3	 21.4 	GB16-1a:LP-DIR-T	hargrave 2016-12-16 11:27:36	2.27e-07	4.48e-09	7.42e-09	4.31e-09	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  623.0
	This study		    1.4	156.7	 20.9 	GB16-1a:LP-DIR-T	hargrave 2017-01-05 11:48:43	2.07e-07	1.83e-09	2.27e-09	4.44e-09	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  673.0
	This study		    1.9	154.6	 21.1 	GB16-1a:LP-DIR-T	hargrave 2017-01-06 15:23:24	1.97e-07	2.14e-09	2.41e-09	5.68e-09	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  698.0
	This study		    1.6	155.0	 20.5 	GB16-1a:LP-DIR-T	hargrave 2017-01-09 16:26:53	1.84e-07	1.66e-09	2.17e-09	4.49e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  723.0
	This study		    1.7	155.0	 20.3 	GB16-1a:LP-DIR-T	hargrave 2017-01-10 16:31:25	1.69e-07	1.63e-09	1.55e-09	4.56e-09	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  748.0
	This study		    2.4	155.4	 20.2 	GB16-1a:LP-DIR-T	hargrave 2017-01-11 19:11:12	1.54e-07	2.75e-09	3.97e-09	4.38e-09	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  773.0
	This study		    1.3	154.9	 20.4 	GB16-1a:LP-DIR-T	hargrave 2017-01-15 18:33:03	1.39e-07	1.76e-09	1.75e-09	2.17e-09	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  798.0
	This study		    1.2	154.7	 20.0 	GB16-1a:LP-DIR-T	hargrave 2017-01-18 14:11:48	1.19e-07	1.41e-09	1.26e-09	1.83e-09	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  823.0
	This study		    1.9	156.1	 20.0 	GB16-1a:LP-DIR-T	hargrave 2017-01-19 00:43:25	1.09e-07	1.56e-09	2.91e-09	1.63e-09	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  833.0
	This study		    1.6	155.7	 20.1 	GB16-1a:LP-DIR-T	hargrave 2017-01-19 15:38:54	1.01e-07	1.20e-09	2.15e-09	1.59e-09	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  843.0
	This study		    2.4	155.8	 19.9 	GB16-1a:LP-DIR-T	hargrave 2017-01-20 13:31:09	9.65e-08	1.60e-09	3.22e-09	1.84e-09	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  848.0
	This study		    1.8	155.9	 20.1 	GB16-1a:LP-DIR-T	hargrave 2017-01-22 13:01:03	9.26e-08	8.49e-10	1.41e-09	2.66e-09	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  853.0
	This study		    2.3	155.4	 19.9 	GB16-1a:LP-DIR-T	hargrave 2017-02-01 15:54:14	8.17e-08	1.31e-09	2.81e-09	1.31e-09	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  868.0
	This study		    2.0	155.8	 19.9 	GB16-1a:LP-DIR-T	hargrave 2017-02-02 14:48:57	6.87e-08	7.62e-10	2.10e-09	1.13e-09	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  883.0
	This study		    4.8	153.7	 20.3 	GB16-1a:LP-DIR-T	hargrave 2017-02-06 13:46:02	5.23e-08	9.22e-10	4.62e-09	7.91e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  898.0
	This study		    2.1	156.0	 19.4 	GB16-1a:LP-DIR-T	hargrave 2017-02-08 12:07:38	3.88e-08	7.29e-10	1.18e-09	5.91e-10	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  913.0
	This study		    3.8	153.5	 18.8 	GB16-1a:LP-DIR-T	hargrave 2017-02-08 21:34:18	2.49e-08	6.71e-10	1.55e-09	4.25e-10	8	273	LT-T-Z:LP-DIR-T	23	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  928.0
	This study		    4.9	159.2	 20.7 	GB16-1a:LP-DIR-T	hargrave 2017-02-09 14:45:39	1.38e-08	5.13e-10	1.08e-09	1.91e-10	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  938.0
	This study		    7.1	158.4	 17.5 	GB16-1a:LP-DIR-T	hargrave 2017-02-13 17:21:11	9.28e-09	3.94e-10	1.10e-09	1.41e-10	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  948.0
	This study		    5.5	166.6	 24.3 	GB16-1a:LP-DIR-T	hargrave 2017-02-14 22:04:03	5.11e-09	1.16e-10	4.90e-10	7.25e-11	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.4.1	GB16-1a	u	0	0	0.00	0.00	  953.0
