,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GB18-,,,,,,,,,,,,,,,,,,,,,
site_name,GB18-,,,,,,,,,,,,,,,,,,,,,
site_lat,47.147425,(‘_N),,,,,,,,,,,,,,,,,,,,
site_long,-91.4746,(‘_E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,247.4,153,50.0,22.2,9.5,yes,113.0,-5.0,2015.0,8.0,1.0,14.0,31.0,1.0,nan,148.6,[358.53144630770925; 73.209607306162056; 56266.882553579788],-1.46855369229,-4.4,148.6,20.7
2a,sun compass orientation,247.4,222,61.0,22.2,9.5,yes,179.0,-5.0,2015.0,8.0,1.0,14.0,42.0,1.0,nan,218.8,[358.5314450362531; 73.209606049758122; 56266.880107551668],-1.46855496375,-3.2,218.8,20.7
3a,sun compass orientation,247.4,155,64.0,22.2,9.5,yes,110.0,-5.0,2015.0,8.0,1.0,14.0,47.0,1.0,nan,151.6,[358.5314444583185; 73.20960547866531; 56266.878995720726],-1.46855554168,-3.4,151.6,20.7
4a,sun compass orientation,247.55,175,65.0,22.2,9.5,yes,130.0,-5.0,2015.0,8.0,1.0,14.0,49.0,1.0,nan,172.3,[358.53144422714468; 73.209605250228222; 56266.878550988338],-1.46855577286,-2.7,172.3,20.7
5a,mag compass orientation (IGRF corrected),247.9,197,80.0,22.2,9.5,yes,nan,-5.0,2015.0,8.0,1.0,1.0,1.0,1.0,nan,nan,[358.53153993331966; 73.209699822861324; 56267.062670277832],-1.46846006668,insufficient data,195.5,20.7
6a,sun compass orientation,248.65,205,18.0,22.2,9.5,yes,155.0,-5.0,2015.0,8.0,1.0,15.0,0.0,1.0,nan,201.2,[358.5314429556887; 73.209603993824018; 56266.876104960247],-1.46855704431,-3.8,201.2,20.7
7a,sun compass orientation,248.7,193,15.0,22.2,9.5,yes,142.0,-5.0,2015.0,8.0,1.0,15.0,3.0,1.0,nan,189.2,[358.53144260892799; 73.209603651168365; 56266.875437861687],-1.46855739107,-3.8,189.2,20.7
8a,sun compass orientation,248.95,163,51.0,22.2,9.5,yes,110.0,-5.0,2015.0,8.0,1.0,15.0,8.0,1.0,nan,158.8,[358.53144203099345; 73.209603080075482; 56266.874326030738],-1.46855796901,-4.2,158.8,20.7
