,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AP4-,,,,,,,,,,,,,,,,,,,,,
site_name,AP4-,,,,,,,,,,,,,,,,,,,,,
site_lat,48.608806,(N),,,,,,,,,,,,,,,,,,,,
site_long,-88.19816122,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),47.2,304,74.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,1.0,1.0,,nan,nan,[355.29008271043205; 74.256397867434899; 56772.884790158132],-4.70991728957,insufficient data,299.3,70.3
2a,mag compass orientation (IGRF corrected),47.4,263,82.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,19.0,,nan,nan,[355.29004841981941; 74.256308249016001; 56772.747622991425],-4.70995158018,insufficient data,258.3,70.3
3a,mag compass orientation (IGRF corrected),47.6,264,83.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,21.0,,nan,nan,[355.29004830884691; 74.256307958988032; 56772.747179084945],-4.70995169115,insufficient data,259.3,70.3
4a,mag compass orientation (IGRF corrected),47.9,227,64.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,22.0,,nan,nan,[355.29004825336062; 74.256307813974075; 56772.746957131756],-4.70995174664,insufficient data,222.3,70.3
5a,mag compass orientation (IGRF corrected),47.95,228,68.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,23.0,,nan,nan,[355.2900481978744; 74.256307668960076; 56772.746735178538],-4.70995180213,insufficient data,223.3,70.3
6a,mag compass orientation (IGRF corrected),48.1,235,73.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,24.0,,nan,nan,[355.29004814238812; 74.256307523946106; 56772.746513225276],-4.70995185761,insufficient data,230.3,70.3
7a,mag compass orientation (IGRF corrected),48.3,226,75.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,25.0,,nan,nan,[355.29004808690189; 74.256307378932149; 56772.746291272037],-4.7099519131,insufficient data,221.3,70.3
8a,mag compass orientation (IGRF corrected),48.4,290,96.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,11.0,26.0,,nan,nan,[355.29004803141561; 74.256307233918136; 56772.746069318819],-4.70995196858,insufficient data,285.3,70.3
