,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,AP5-,,,,,,,,,,,,,,,,,,,,,
site_name,AP5-,,,,,,,,,,,,,,,,,,,,,
site_lat,48.608306,(N),,,,,,,,,,,,,,,,,,,,
site_long,-88.19782379,(E),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,sun compass orientation,60.1,359,89.0,75,13.0,yes,39.0,-4.0,2014.0,7.0,27.0,12.0,36.0,,nan,2.1,[355.28987039098502; 74.255940413910466; 56772.557658030062],-4.71012960901,-356.9,2.1,70.3
2a,sun compass orientation,60.3,315,69.0,75,13.0,yes,322.0,-4.0,2014.0,7.0,27.0,12.0,44.0,,nan,288.2,[355.28986994708617; 74.255939253792121; 56772.555882395383],-4.71013005291,-26.8,288.2,70.3
3a,sun compass orientation,60.4,36,17.0,75,13.0,yes,55.0,-4.0,2014.0,7.0,27.0,12.0,48.0,,nan,22.8,[355.28986972513678; 74.255938673732928; 56772.554994578044],-4.71013027486,-13.2,22.8,70.3
4a,sun compass orientation,60.3,89,54.0,75,13.0,yes,91.0,-4.0,2014.0,7.0,27.0,12.0,59.0,,nan,63.4,[355.28986911477591; 74.255937078570099; 56772.552553080444],-4.71013088522,-25.6,63.4,70.3
5a,sun compass orientation,61.4,13,28.0,75,13.0,yes,42.0,-4.0,2014.0,7.0,27.0,13.0,9.0,,nan,18.7,[355.28986855990252; 74.255935628421881; 56772.550333537198],-4.7101314401,5.7,18.7,70.3
6a,sun compass orientation,61.7,56,20.0,75,13.0,yes,53.0,-4.0,2014.0,7.0,27.0,13.0,35.0,,nan,41.5,[355.28986711723189; 74.255931858036078; 56772.544562724914],-4.71013288277,-14.5,41.5,70.3
7a,mag compass orientation (IGRF corrected),61.9,232,12.0,75,13.0,yes,nan,-4.0,2014.0,7.0,27.0,13.0,42.0,,nan,nan,[355.28986672882058; 74.255930842932074; 56772.543009044733],-4.71013327118,insufficient data,227.3,70.3
8a,sun compass orientation,64.4,169,16.0,75,13.0,yes,176.0,-4.0,2014.0,7.0,27.0,13.0,44.0,,nan,168.7,[355.28986661784597; 74.255930552902356; 56772.542565136144],-4.71013338215,-0.3,168.7,70.3
