tab	measurements
analysts	citation	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
	This study		    2.0	227.4	 11.3 	GB14-1a:LP-DIR-T	hargrave 2016-09-01 10:11:53	1.51e-06	3.22e-08	2.62e-08	3.27e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	273
	This study		    3.9	227.7	 11.2 	GB14-1a:LP-DIR-T	hargrave 2016-09-04 17:43:01	1.48e-06	7.36e-08	6.62e-08	1.65e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	77
	This study		    2.3	226.6	 10.7 	GB14-1a:LP-DIR-T	hargrave 2016-11-16 15:01:12	1.47e-06	4.14e-08	4.08e-08	1.61e-08	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  373.0
	This study		    2.0	230.0	 09.5 	GB14-1a:LP-DIR-T	hargrave 2016-11-21 15:37:43	1.43e-06	3.53e-08	3.05e-08	1.55e-08	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  473.0
	This study		    0.7	229.1	 09.0 	GB14-1a:LP-DIR-T	hargrave 2016-12-09 22:17:24	1.38e-06	7.53e-09	7.32e-09	1.42e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  573.0
	This study		    4.5	226.1	 09.4 	GB14-1a:LP-DIR-T	hargrave 2016-12-16 11:01:03	1.28e-06	7.07e-08	6.82e-08	1.93e-08	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  623.0
	This study		    4.5	226.1	 09.4 	GB14-1a:LP-DIR-T	hargrave 2016-12-16 11:45:22	1.28e-06	7.07e-08	6.87e-08	1.96e-08	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  623.0
	This study		    4.8	227.4	 09.5 	GB14-1a:LP-DIR-T	hargrave 2017-01-05 11:21:50	1.22e-06	7.41e-08	6.90e-08	1.28e-08	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  673.0
	This study		    2.8	230.1	 09.4 	GB14-1a:LP-DIR-T	hargrave 2017-01-06 14:55:13	1.18e-06	4.21e-08	3.32e-08	1.95e-08	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  698.0
	This study		    3.6	230.4	 09.6 	GB14-1a:LP-DIR-T	hargrave 2017-01-09 15:57:11	1.15e-06	5.41e-08	4.61e-08	1.44e-08	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  723.0
	This study		    2.6	229.9	 09.5 	GB14-1a:LP-DIR-T	hargrave 2017-01-10 16:05:45	1.12e-06	3.66e-08	3.36e-08	1.13e-08	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  748.0
	This study		    4.1	228.5	 09.2 	GB14-1a:LP-DIR-T	hargrave 2017-01-11 18:47:02	1.08e-06	5.64e-08	5.31e-08	1.58e-08	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  773.0
	This study		    3.2	227.6	 08.6 	GB14-1a:LP-DIR-T	hargrave 2017-01-15 18:04:05	1.03e-06	4.03e-08	4.10e-08	1.37e-08	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  798.0
	This study		    0.8	232.8	 08.3 	GB14-1a:LP-DIR-T	hargrave 2017-01-18 13:45:58	9.81e-07	8.75e-09	6.63e-09	1.07e-08	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  823.0
	This study		    1.9	229.1	 08.5 	GB14-1a:LP-DIR-T	hargrave 2017-01-19 00:14:26	9.59e-07	2.11e-08	2.30e-08	1.24e-08	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  833.0
	This study		    3.2	230.8	 08.5 	GB14-1a:LP-DIR-T	hargrave 2017-01-19 15:12:14	9.31e-07	3.79e-08	3.46e-08	1.31e-08	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  843.0
	This study		    2.9	230.1	 08.1 	GB14-1a:LP-DIR-T	hargrave 2017-01-20 13:05:13	9.14e-07	3.19e-08	3.27e-08	1.20e-08	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  848.0
	This study		    3.7	231.2	 08.5 	GB14-1a:LP-DIR-T	hargrave 2017-01-22 12:33:10	8.98e-07	4.11e-08	3.92e-08	1.19e-08	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  853.0
	This study		    2.9	229.3	 08.2 	GB14-1a:LP-DIR-T	hargrave 2017-02-01 15:30:33	8.15e-07	3.27e-08	2.25e-08	1.17e-08	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  868.0
	This study		    5.2	228.5	 08.3 	GB14-1a:LP-DIR-T	hargrave 2017-02-02 14:25:17	4.38e-07	3.09e-08	2.43e-08	6.55e-09	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  883.0
	This study		    1.7	230.8	 09.1 	GB14-1a:LP-DIR-T	hargrave 2017-02-06 13:26:12	2.79e-07	7.56e-09	3.81e-09	3.52e-09	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  898.0
	This study		    1.6	231.3	 09.1 	GB14-1a:LP-DIR-T	hargrave 2017-02-08 11:45:35	2.21e-07	4.47e-09	4.22e-09	2.37e-09	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  913.0
	This study		    0.7	231.2	 09.5 	GB14-1a:LP-DIR-T	hargrave 2017-02-08 21:11:45	1.96e-07	1.60e-09	2.08e-09	2.04e-09	8	273	LT-T-Z:LP-DIR-T	23	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  928.0
	This study		    0.9	230.1	 09.2 	GB14-1a:LP-DIR-T	hargrave 2017-02-09 14:25:49	1.74e-07	1.17e-09	2.17e-09	1.90e-09	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  938.0
	This study		    2.6	229.6	 09.6 	GB14-1a:LP-DIR-T	hargrave 2017-02-13 16:54:24	1.53e-07	5.66e-09	3.92e-09	1.93e-09	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  948.0
	This study		    1.9	233.3	 09.3 	GB14-1a:LP-DIR-T	hargrave 2017-02-14 21:37:34	1.09e-07	2.78e-09	2.07e-09	1.20e-09	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.4.1	GB14-1a	u	0	0	0.00	0.00	  953.0
	This study		    1.6	314.8	 60.2 	GB14-2a:LP-DIR-T	hargrave 2016-09-01 10:13:30	1.53e-06	3.37e-08	2.51e-08	2.05e-08	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	273
	This study		    1.5	315.5	 59.7 	GB14-2a:LP-DIR-T	hargrave 2016-09-04 17:44:37	1.50e-06	2.81e-08	2.91e-08	1.49e-08	8	273	LT-LT-Z:LP-DIR-T	2	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	77
	This study		    2.8	310.6	 59.8 	GB14-2a:LP-DIR-T	hargrave 2016-11-16 15:02:38	1.49e-06	5.78e-08	4.21e-08	1.39e-08	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  373.0
	This study		    1.7	316.7	 58.6 	GB14-2a:LP-DIR-T	hargrave 2016-11-21 15:39:10	1.44e-06	2.92e-08	3.25e-08	1.02e-08	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  473.0
	This study		    2.2	316.3	 57.9 	GB14-2a:LP-DIR-T	hargrave 2016-12-09 22:19:03	1.39e-06	3.63e-08	4.07e-08	1.03e-08	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  573.0
	This study		    2.3	311.0	 58.4 	GB14-2a:LP-DIR-T	hargrave 2016-12-16 11:02:41	1.27e-06	3.19e-08	3.69e-08	1.23e-08	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  623.0
	This study		    2.1	310.7	 58.2 	GB14-2a:LP-DIR-T	hargrave 2016-12-16 11:46:59	1.27e-06	3.22e-08	3.40e-08	1.02e-08	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  623.0
	This study		    2.7	320.5	 58.8 	GB14-2a:LP-DIR-T	hargrave 2017-01-05 11:23:27	1.22e-06	2.90e-08	5.00e-08	1.56e-08	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  673.0
	This study		    2.0	315.2	 58.6 	GB14-2a:LP-DIR-T	hargrave 2017-01-06 14:56:54	1.16e-06	2.56e-08	3.10e-08	1.61e-08	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.4.1	GB14-2a	u	0	0	0.00	0.00	  698.0
