tab	measurements
citations	specimen	experiment	instrument_codes	method_codes	software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	meas_n_orient	magn_x_sigma	magn_y_sigma	magn_z_sigma	standard	meas_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-08-17 16:46:04	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.6	255.5		g	 35.9 	6.93e-07	1	1	2.95e-08	9.81e-09	8.49e-09	u	273	0	0	0.00	-90.00	273
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-08-17 19:40:22	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.3	256.0		g	 35.9 	6.93e-07	2	1	2.51e-08	9.63e-09	8.61e-09	u	273	0	0	0.00	-90.00	273
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-08-19 18:28:35	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    4.9	260.2		g	 35.3 	6.72e-07	3	1	5.59e-08	1.27e-08	6.68e-09	u	273	0	0	0.00	-90.00	77
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-08-26 13:49:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	256.8		g	 34.8 	6.68e-07	4	1	2.18e-08	7.73e-09	6.67e-09	u	273	0	0	0.00	-90.00	  373.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-08-31 17:50:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	258.9		g	 34.0 	6.60e-07	5	1	9.87e-09	9.29e-09	6.69e-09	u	273	0	0	0.00	-90.00	  473.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-01 15:20:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.0	255.3		g	 33.9 	6.34e-07	6	1	3.14e-08	7.74e-09	7.04e-09	u	273	0	0	0.00	-90.00	  573.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-02 14:42:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	255.7		g	 33.8 	6.10e-07	7	1	1.38e-08	6.42e-09	6.28e-09	u	273	0	0	0.00	-90.00	  623.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-08 10:43:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	254.4		g	 33.3 	5.83e-07	8	1	7.53e-09	8.32e-09	3.74e-09	u	273	0	0	0.00	-90.00	  673.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-08 16:53:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	255.7		g	 33.3 	5.72e-07	9	1	1.59e-08	8.61e-09	3.70e-09	u	273	0	0	0.00	-90.00	  698.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-12 10:45:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	257.5		g	 33.3 	5.62e-07	10	1	2.19e-08	9.06e-09	3.33e-09	u	273	0	0	0.00	-90.00	  723.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-12 21:32:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	259.2		g	 33.2 	5.50e-07	11	1	8.67e-09	7.94e-09	5.93e-09	u	273	0	0	0.00	-90.00	  748.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-15 11:29:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	258.7		g	 33.3 	5.39e-07	12	1	8.35e-09	7.28e-09	3.97e-09	u	273	0	0	0.00	-90.00	  773.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-19 17:43:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	257.6		g	 33.3 	5.13e-07	13	1	1.57e-08	7.60e-09	4.26e-09	u	273	0	0	0.00	-90.00	  798.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-22 16:42:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.9	256.8		g	 33.5 	4.63e-07	14	1	2.19e-08	7.91e-09	2.76e-09	u	273	0	0	0.00	-90.00	  823.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-09-29 10:21:20	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.1	255.5		g	 33.4 	4.46e-07	15	1	1.44e-08	8.27e-09	2.45e-09	u	273	0	0	0.00	-90.00	  833.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-10-03 17:22:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.5	257.4		g	 33.5 	4.20e-07	16	1	2.42e-08	7.16e-09	4.75e-09	u	273	0	0	0.00	-90.00	  843.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-10-08 13:56:30	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	258.5		g	 33.1 	4.07e-07	17	1	1.10e-08	5.60e-09	3.89e-09	u	273	0	0	0.00	-90.00	  848.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-10-20 11:58:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	258.1		g	 33.2 	3.86e-07	18	1	9.54e-09	4.88e-09	3.74e-09	u	273	0	0	0.00	-90.00	  853.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-10-25 00:00:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.3	256.6		g	 33.3 	3.45e-07	19	1	2.50e-08	6.70e-09	4.20e-09	u	273	0	0	0.00	-90.00	  868.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-11-07 10:21:54	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.1	257.0		g	 33.2 	3.07e-07	20	1	1.60e-08	4.69e-09	2.50e-09	u	273	0	0	0.00	-90.00	  883.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-11-08 11:45:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	258.1		g	 33.2 	2.58e-07	21	1	6.34e-09	3.07e-09	2.67e-09	u	273	0	0	0.00	-90.00	  898.0
This study	GB3-1a	GB3-1a:LP-DIR-T	hargrave 2016-11-09 10:44:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	259.0		g	 33.1 	2.00e-07	22	1	2.26e-09	2.33e-09	2.38e-09	u	273	0	0	0.00	-90.00	  913.0
