tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-08 17:26:38	LT-NO:LP-DIR-T	pmagpy-3.4.1	    1.5	024.8		g	 31.4 	9.25e-06	1	1	9.98e-08	1.68e-07	1.69e-07	u	273	0	0	0.00	-90.00	273
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-11 17:50:04	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    2.1	024.8		g	 31.7 	9.24e-06	2	1	9.70e-08	2.52e-07	2.04e-07	u	273	0	0	0.00	-90.00	77
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-18 10:21:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	027.0		g	 30.5 	9.19e-06	3	1	1.18e-07	1.88e-07	2.98e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-18 17:36:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	027.1		g	 28.7 	9.48e-06	4	1	1.30e-07	3.27e-07	1.97e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-19 13:24:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.3	026.5		g	 28.7 	9.45e-06	5	1	1.14e-07	3.18e-07	2.00e-07	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-25 13:08:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.5	023.9		g	 28.4 	8.46e-06	6	1	1.18e-07	2.94e-07	2.14e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-26 10:05:01	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.9	026.2		g	 28.1 	7.33e-06	7	1	1.29e-07	9.93e-08	1.85e-07	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-04-26 17:34:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	026.0		g	 27.9 	6.59e-06	8	1	8.04e-08	1.27e-07	1.84e-07	u	273	0	0	0.00	-90.00	  723.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-05-02 14:26:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	023.4		g	 27.9 	6.25e-06	9	1	7.37e-08	1.58e-07	1.97e-07	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf1-1	Puf1-1	Puf1-1a	Puf1-1a:LP-DIR-T	hargrave 2016-05-02 20:50:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.9	024.6		g	 28.1 	6.12e-06	10	1	9.07e-08	2.59e-07	1.55e-07	u	273	0	0	0.00	-90.00	  773.0
